symbol,name,type
IYSMX,Ivy Small Cap Value R,mf
USBSX,USAA Cornerstone Moderate,mf
KGSCX,Kalmar Growth-with-Value Sm Cp Inv,mf
RIMIX,City National Rochdale Emerg Mkts N,mf
WDHYX,Wells Fargo Advantage S/T Hi Yld Bd Adm,mf
WFLVX,Wells Fargo Advantage Large Co Val C,mf
RYWZX,Rydex Inverse Emerging Mkts 2X Strat C,mf
FDLCRX,First Trust 2769 SeniorLoan & L,mf
UGTPX,UIF Global Tactical Asset Allocation II,mf
PAFFX,T. Rowe Price Target Retire 2045 Advisor,mf
MGQLX,Morgan Stanley Inst Global Quality L,mf
MDIIX,BlackRock International Index Inv A,mf
AWAKX,AllianceBern Wealth Apprec Strat K,mf
JEIZX,JPMorgan International Rsrch Enh Eq R2,mf
VKDTSX,VAN KAMPEN 1091 THE DOW JONES T,mf
LSDIX,Loomis Sayles Interm Duration Bond Instl,mf
EPAPX,MainStay Epoch Global Choice A,mf
VPCCX,Vanguard PRIMECAP Core Inv,mf
XSGLX,"Strategic Global income Fund, I",mf
PTTCX,PIMCO Total Return C,mf
PELBX,PIMCO Emerging Local Bond Instl,mf
XBQYX,S&P; Quality Rankings Global Equ,mf
ACAZX,Alger Capital Appreciation Z,mf
HERCX,Hartford Emerging Markets Research C,mf
HUERX,Pyxis U.S Equity R,mf
GHAYX,Van Eck Global Hard Assets Y,mf
FIMIX,Fidelity Minnesota Municipal Income,mf
IGWIX,Ivy Micro Cap Growth I,mf
ARDVX,American Century One Choice 2040 Inv,mf
FRDTX,Franklin Rising Dividends C,mf
ANJIX,AllianzGI NFJ International Value Instl,mf
GSHCX,Goldman Sachs High Yield C,mf
GIAAX,Goldman Sachs India Equity A,mf
CEFZX,Columbia Acorn Emerging Markets Z,mf
PTBNX,Principal LifeTime 2020 R2,mf
HVWBX,American Funds New World HLS IB,mf
FTVABX,FIRST TRUST 2879 DIVERSIFIED FI,mf
OISVX,Optimum Small-Mid Cap Value Instl,mf
PLADX,PL Short Duration Income A,mf
VIFSX,Vanguard 500 Index Signal,mf
VBTIX,Vanguard Total Bond Market Index I,mf
LMKIX,QS Legg Mason Target Retirement 2045 I,mf
VPSVX,Vantagepoint Select Value Investor,mf
WFAAX,Wells Fargo Advantage Asia Pacific A,mf
TRRIX,T. Rowe Price Retirement Income,mf
ZSCIX,Zacks Small-Cap Core I,mf
FWWFX,Fidelity Worldwide,mf
CVBWX,Columbia Convertible Securities W,mf
SENAX,Wells Fargo Advantage Enterprise A,mf
EIPBX,Parametric Balanced Risk Institutional,mf
NQVAX,Nuveen NWQ Multi-Cap Value A,mf
PNGYX,Putnam International Value Y,mf
PADIX,Pacific Advisors Income & Equity A,mf
ROIMX,Royce International Micro-Cap Service,mf
JAENX,Janus Enterprise T,mf
MDDVX,BlackRock Equity Dividend Inv A,mf
PMHYX,Prudential Municipal Hi-Inc B,mf
OWSOX,Old Westbury Strategic Opportunities,mf
BTFCX,BTS Tactical Fixed Income C,mf
RTRWX,Royce Total Return W,mf
BBSCX,Sterling Capital Short Duration Bond C,mf
VKEYTX,VAN KAMPEN 921 ENERGY PTF SRS 3,mf
FCSINX,FIRST TRUST 2156 STRATEGIC INCO,mf
PGSMX,Putnam US Government Income M,mf
ANTCX,American Century NY Tax-Free C,mf
NIQTX,Neuberger Berman International Eq Trst,mf
OPITX,Oppenheimer Rochester Ltd Term Muni A,mf
LIPIX,BlackRock Lifepath Index 2050 Instl,mf
MUSFX,Merk Currency Enhanced US Equity Inv,mf
PMABX,Putnam MA Tax Exempt Income B,mf
GGBZX,GuideStone Funds Aggressive Allc Inv,mf
PCGRX,Pioneer Mid-Cap Value A,mf
JLJAX,JHancock Retire Living through 2045 A,mf
WRAAX,Wilmington Multi-Manager Alts A,mf
MDEPX,M.D. Sass Equity Income Plus Retail,mf
SWERX,Schwab Target 2040,mf
XFCTX,First Trust/Four Corners Senior,mf
WAAEX,Wasatch Small Cap Growth,mf
PHYMX,Putnam High Yield Advantage M,mf
NAPOX,Voya Multi-Manager International Sm Cp O,mf
OIBYX,Oppenheimer International Bond Y,mf
EXFSX,Manning & Napier Financial Svc Series,mf
NPFCX,American Funds New Perspective C,mf
BNHBX,UBS High Yield B,mf
DCCGX,Dunham Corporate/Government Bond C,mf
MADVX,BlackRock Equity Dividend Instl,mf
MLGRX,MainStay Large Cap Growth R3,mf
HCACX,Hartford Capital Appreciation C,mf
AAMCGX,visors Dis Tr 705 Covered Call ,mf
JAMVX,Janus Aspen Perkins Mid Cap Value Instl,mf
PCHSX,Putnam Global Health Care C,mf
ISZAX,Voya Solution 2025 A,mf
PCBCX,Pioneer Classic Balanced C,mf
BIPCX,BlackRock LifePath Active 2020 K,mf
IPESX,Voya Large Cap Value Portfolio S,mf
DAFGX,Dunham Focused Large Cap Growth A,mf
WCEYX,Ivy Core Equity Y,mf
QGRCX,Oppenheimer Global Allocation C,mf
VKBFEX,Build America Bonds Income Trus,mf
MFELX,MFS Growth R1,mf
GLNMX,MFS Global New Discovery R4,mf
MXADX,Great-West Invesco ADR L,mf
MHHIX,MainStay High Yield Corporate Bond Inv,mf
BDVSX,BMO Diversified Income R-6,mf
VQHYX,Vantagepoint High Yield T,mf
